inte',$S_0$,$S_1$,$S_2$,aero',$S_0$,$S_1$,$S_2$,dist',$S_0$,$S_1$,$S_2$,obse',$S_0$,$S_1$,$S_2$,ctrl',$S_0$,$S_1$,$S_2$
2.4617,0,0,0,2.4617,493.904451,-4259.080935,-15616.10805,2.4617,493.904451,-4259.080935,-15616.10805,2.4617,610.191211,-5260.883228,-19292.78121,2.4617,155375.3897,-1.34E+06,-4.91E+06
2.515872,0,0,0,2.515872,487.302455,-4202.615035,-15407.38924,2.515872,487.302455,-4202.615035,-15407.38924,2.515872,558.698279,-4817.352831,-17664.71733,2.515872,155900.5881,-1.34E+06,-4.93E+06
2.571926,0,0,0,2.571926,434.007647,-3743.462807,-13722.35078,2.571926,434.007647,-3743.462807,-13722.35078,2.571926,503.551617,-4342.28908,-15921.12994,2.571926,156417.9206,-1.35E+06,-4.95E+06
2.623011,0,0,0,2.623011,343.378823,-2962.137665,-10856.88732,2.623011,343.378823,-2962.137665,-10856.88732,2.623011,459.453157,-3962.422487,-14526.8577,2.623011,156864.0637,-1.35E+06,-4.96E+06
2.664591,0,0,0,2.664591,335.982384,-2898.662522,-10623.04313,2.664591,335.982384,-2898.662522,-10623.04313,2.664591,428.998869,-3700.123066,-13563.97838,2.664591,157208.8791,-1.35E+06,-4.97E+06
2.714616,0,0,0,2.714616,361.160819,-3116.353381,-11419.15258,2.714616,361.160819,-3116.353381,-11419.15258,2.714616,400.041489,-3450.79739,-12648.43082,2.714616,157601.6002,-1.36E+06,-4.98E+06
2.767119,0,0,0,2.767119,313.465964,-2705.276927,-9911.162129,2.767119,313.465964,-2705.276927,-9911.162129,2.767119,372.581101,-3214.384182,-11780.21489,2.767119,157989.9129,-1.36E+06,-5.00E+06
2.81692,0,0,0,2.81692,283.154593,-2444.127372,-8952.798058,2.81692,283.154593,-2444.127372,-8952.798058,2.81692,345.931117,-2984.906403,-10937.61973,2.81692,158337.4248,-1.36E+06,-5.01E+06
2.865986,0,0,0,2.865986,258.68175,-2233.323843,-8179.034588,2.865986,258.68175,-2233.323843,-8179.034588,2.865986,317.10833,-2736.63226,-10026.3229,2.865986,158661.677,-1.37E+06,-5.02E+06
2.913883,0,0,0,2.913883,228.845272,-1976.15038,-7235.680083,2.913883,228.845272,-1976.15038,-7235.680083,2.913883,286.905277,-2476.386559,-9071.382159,2.913883,158961.7404,-1.37E+06,-5.03E+06
2.967554,0,0,0,2.967554,214.988597,-1856.982579,-6797.579267,2.967554,214.988597,-1856.982579,-6797.579267,2.967554,259.012491,-2236.10262,-8189.488553,2.967554,159276.753,-1.37E+06,-5.04E+06
3.022784,0,0,0,3.022784,204.602016,-1767.802626,-6469.197743,3.022784,204.602016,-1767.802626,-6469.197743,3.022784,237.472691,-2050.657819,-7508.464145,3.022784,159577.7973,-1.37E+06,-5.05E+06
3.075219,0,0,0,3.075219,185.678159,-1604.811832,-5870.878695,3.075219,185.678159,-1604.811832,-5870.878695,3.075219,220.446501,-1904.135983,-6970.14963,3.075219,159843.4907,-1.38E+06,-5.05E+06
